,text,entityTag
0,EU,0
1,rejects,1
2,German,2
3,call,1
4,to,1
5,boycott,1
6,British,2
7,lamb,1
8,.,1
9,Peter,3
10,Blackburn,3
11,BRUSSELS,4
12,1996-08-22,1
13,The,1
14,European,0
15,Commission,0
16,said,1
17,on,1
18,Thursday,1
19,it,1
20,disagreed,1
21,with,1
22,German,2
23,advice,1
24,to,1
25,consumers,1
26,to,1
27,shun,1
28,British,2
29,lamb,1
30,until,1
31,scientists,1
32,determine,1
33,whether,1
34,mad,1
35,cow,1
36,disease,1
37,can,1
38,be,1
39,transmitted,1
40,to,1
41,sheep,1
42,.,1
43,Germany,4
44,'s,1
45,representative,1
46,to,1
47,the,1
48,European,0
49,Union,0
50,'s,1
51,veterinary,1
52,committee,1
53,Werner,3
54,Zwingmann,3
55,said,1
56,on,1
57,Wednesday,1
58,consumers,1
59,should,1
60,buy,1
61,sheepmeat,1
62,from,1
63,countries,1
64,other,1
65,than,1
66,Britain,4
67,until,1
68,the,1
69,scientific,1
70,advice,1
71,was,1
72,clearer,1
73,.,1
74, ,5
75,We,1
76,do,1
77,n't,1
78,support,1
79,any,1
80,such,1
81,recommendation,1
82,because,1
83,we,1
84,do,1
85,n't,1
86,see,1
87,any,1
88,grounds,1
89,for,1
90,it,1
91,",",1
92, ,5
93,the,1
94,Commission,0
95,'s,1
96,chief,1
97,spokesman,1
98,Nikolaus,3
99,van,3
100,der,3
101,Pas,3
102,told,1
103,a,1
104,news,1
105,briefing,1
106,.,1
107,He,1
108,said,1
109,further,1
110,scientific,1
111,study,1
112,was,1
113,required,1
114,and,1
115,if,1
116,it,1
117,was,1
118,found,1
119,that,1
120,action,1
121,was,1
122,needed,1
123,it,1
124,should,1
125,be,1
126,taken,1
127,by,1
128,the,1
129,European,0
130,Union,0
131,.,1
132,He,1
133,said,1
134,a,1
135,proposal,1
136,last,1
137,month,1
138,by,1
139,EU,0
140,Farm,1
141,Commissioner,1
142,Franz,3
143,Fischler,3
144,to,1
145,ban,1
146,sheep,1
147,brains,1
148,",",1
149,spleens,1
150,and,1
151,spinal,1
152,cords,1
153,from,1
154,the,1
155,human,1
156,and,1
157,animal,1
158,food,1
159,chains,1
160,was,1
161,a,1
162,highly,1
163,specific,1
164,and,1
165,precautionary,1
166,move,1
167,to,1
168,protect,1
169,human,1
170,health,1
171,.,1
172,Fischler,3
173,proposed,1
174,EU-wide,2
175,measures,1
176,after,1
177,reports,1
178,from,1
179,Britain,4
180,and,1
181,France,4
182,that,1
183,under,1
184,laboratory,1
185,conditions,1
186,sheep,1
187,could,1
188,contract,1
189,Bovine,2
190,Spongiform,2
191,Encephalopathy,2
192,(,1
193,BSE,2
194,),1
195,--,1
196,mad,1
197,cow,1
198,disease,1
199,.,1
200,But,1
201,Fischler,3
202,agreed,1
203,to,1
204,review,1
205,his,1
206,proposal,1
207,after,1
208,the,1
209,EU,0
210,'s,1
211,standing,1
212,veterinary,1
213,committee,1
214,",",1
215,mational,1
216,animal,1
217,health,1
218,officials,1
219,",",1
220,questioned,1
221,if,1
222,such,1
223,action,1
224,was,1
225,justified,1
226,as,1
227,there,1
228,was,1
229,only,1
230,a,1
231,slight,1
232,risk,1
233,to,1
234,human,1
235,health,1
236,.,1
237,Spanish,2
238,Farm,1
239,Minister,1
240,Loyola,3
241,de,3
242,Palacio,3
243,had,1
244,earlier,1
245,accused,1
246,Fischler,3
247,at,1
248,an,1
249,EU,0
250,farm,1
251,ministers,1
252,',1
253,meeting,1
254,of,1
255,causing,1
256,unjustified,1
257,alarm,1
258,through,1
259, ,5
260,dangerous,1
261,generalisation,1
262,.,1
263, ,5
264,.,1
265,Only,1
266,France,4
267,and,1
268,Britain,4
269,backed,1
270,Fischler,3
271,'s,1
272,proposal,1
273,.,1
274,The,1
275,EU,0
276,'s,1
277,scientific,1
278,veterinary,1
279,and,1
280,multidisciplinary,1
281,committees,1
282,are,1
283,due,1
284,to,1
285,re-examine,1
286,the,1
287,issue,1
288,early,1
289,next,1
290,month,1
291,and,1
292,make,1
293,recommendations,1
294,to,1
295,the,1
296,senior,1
297,veterinary,1
298,officials,1
299,.,1
300,Sheep,1
301,have,1
302,long,1
303,been,1
304,known,1
305,to,1
306,contract,1
307,scrapie,1
308,",",1
309,a,1
310,brain-wasting,1
311,disease,1
312,similar,1
313,to,1
314,BSE,2
315,which,1
316,is,1
317,believed,1
318,to,1
319,have,1
320,been,1
321,transferred,1
322,to,1
323,cattle,1
324,through,1
325,feed,1
326,containing,1
327,animal,1
328,waste,1
329,.,1
330,British,2
331,farmers,1
332,denied,1
333,on,1
334,Thursday,1
335,there,1
336,was,1
337,any,1
338,danger,1
339,to,1
340,human,1
341,health,1
342,from,1
343,their,1
344,sheep,1
345,",",1
346,but,1
347,expressed,1
348,concern,1
349,that,1
350,German,2
351,government,1
352,advice,1
353,to,1
354,consumers,1
355,to,1
356,avoid,1
357,British,2
358,lamb,1
359,might,1
360,influence,1
361,consumers,1
362,across,1
363,Europe,4
364,.,1
365, ,5
366,What,1
367,we,1
368,have,1
369,to,1
370,be,1
371,extremely,1
372,careful,1
373,of,1
374,is,1
375,how,1
376,other,1
377,countries,1
378,are,1
379,going,1
380,to,1
381,take,1
382,Germany,4
383,'s,1
384,lead,1
385,",",1
386, ,5
387,Welsh,0
388,National,0
389,Farmers,0
390,',0
391,Union,0
392,(,1
393,NFU,0
394,),1
395,chairman,1
396,John,3
397,Lloyd,3
398,Jones,3
399,said,1
400,on,1
401,BBC,0
402,radio,0
403,.,1
404,Bonn,4
405,has,1
406,led,1
407,efforts,1
408,to,1
409,protect,1
410,public,1
411,health,1
412,after,1
413,consumer,1
414,confidence,1
415,collapsed,1
416,in,1
417,March,1
418,after,1
419,a,1
420,British,2
421,report,1
422,suggested,1
423,humans,1
424,could,1
425,contract,1
426,an,1
427,illness,1
428,similar,1
429,to,1
430,mad,1
431,cow,1
432,disease,1
433,by,1
434,eating,1
435,contaminated,1
436,beef,1
437,.,1
438,Germany,4
439,imported,1
440,"47,600",1
441,sheep,1
442,from,1
443,Britain,4
444,last,1
445,year,1
446,",",1
447,nearly,1
448,half,1
449,of,1
450,total,1
451,imports,1
452,.,1
453,It,1
454,brought,1
455,in,1
456,"4,275",1
457,tonnes,1
458,of,1
459,British,2
460,mutton,1
461,",",1
462,some,1
463,10,1
464,percent,1
465,of,1
466,overall,1
467,imports,1
468,.,1
469,-DOCSTART-,1
470,Rare,1
471,Hendrix,3
472,song,1
473,draft,1
474,sells,1
475,for,1
476,almost,1
477,$,1
478,"17,000",1
479,.,1
480,LONDON,4
481,1996-08-22,1
482,A,1
483,rare,1
484,early,1
485,handwritten,1
486,draft,1
487,of,1
488,a,1
489,song,1
490,by,1
491,U.S.,4
492,guitar,1
493,legend,1
494,Jimi,3
495,Hendrix,3
496,was,1
497,sold,1
498,for,1
499,almost,1
500,$,1
501,"17,000",1
502,on,1
503,Thursday,1
504,at,1
505,an,1
506,auction,1
507,of,1
508,some,1
509,of,1
510,the,1
511,late,1
512,musician,1
513,'s,1
514,favourite,1
515,possessions,1
516,.,1
517,A,1
518,Florida,4
519,restaurant,1
520,paid,1
521,"10,925",1
522,pounds,1
523,(,1
524,$,1
525,"16,935",1
526,),1
527,for,1
528,the,1
529,draft,1
530,of,1
531, ,5
532,Ai,2
533,n't,2
534,no,2
535,telling,2
536, ,5
537,",",1
538,which,1
539,Hendrix,3
540,penned,1
541,on,1
542,a,1
543,piece,1
544,of,1
545,London,4
546,hotel,1
547,stationery,1
548,in,1
549,late,1
550,1966,1
551,.,1
552,At,1
553,the,1
554,end,1
555,of,1
556,a,1
557,January,1
558,1967,1
559,concert,1
560,in,1
561,the,1
562,English,2
563,city,1
564,of,1
565,Nottingham,4
566,he,1
